doi,q1_climate_neutrality,q1_comment,q2_comment,q2_region,q3_comment,q3_sector,q3_sector_comment,q4_comment,q4_method
10.13336/j.1003-6520.hve.20220852,unclear,"The model aims to 'promote' regional carbon neutrality goals and 'reduce net carbon emissions', but does not demonstrate an actually achieved carbon-neutral pathway or configuration.",,yes,,yes,,,yes
10.1016/j.energy.2024.131363,no,,,yes,,yes,,,yes
10.1007/978-3-032-00361-4_32,yes,,"NCNU is a specific institution mentioned, but its geographic location is not explicitly stated in the abstract.",unclear,,yes,,,no
10.1016/j.scitotenv.2025.178894,no,,,yes,"Forest cover is mentioned as a predictor, but the abstract analyzes aggregate CO2 emissions without explicitly targeting specific sectors like energy, industry, or agriculture.",unclear,,,no
10.1093/nsr/nwac057,no,,,yes,,yes,,,yes
10.1016/j.resglo.2024.100226,no,,,yes,,yes,,,no
10.1111/gcbb.12666,yes,,"Abstract focuses on global analysis; mentions 'few world regions' in context but targets global system, not specific spatial areas.",no,,yes,,,yes
10.1109/ICSES63445.2024.10762990,no,,,no,,yes,,,no
10.1109/ICAICTA63815.2024.10763079,no,"Abstract is a review of prediction models and quantum-based enhancements to forecast carbon neutrality, not a description of an actual climate-neutral pathway or system configuration.",References 'cities worldwide' but provides no specific geographic targeting; this is a global/methodological review.,no,,yes,,"This is a review paper ('provides a review of pipeline processes'); it does not present original quantitative modeling or scenarios, only discusses existing methods.",no
10.1016/j.esd.2025.101855,no,,,yes,,yes,,,no
10.1016/j.scitotenv.2024.176690,no,,,yes,,yes,,"Quantitative methods (LCA, ReCiPe, EF) are used to assess tree environmental performance, not to generate climate-neutral pathways.",no
10.1016/j.jenvman.2025.127436,no,,,yes,,yes,,,yes
10.1016/j.agwat.2025.110020,no,,,yes,,yes,,,yes
10.1007/s13593-023-00938-0,no,,,yes,,yes,,,no
10.1016/j.seta.2024.103665,no,Title mentions 'net-zero energy' but abstract describes a load scheduling framework without demonstrating that the proposed system configuration actually achieves climate neutrality through modeling.,No specific spatial area mentioned; only generic references to 'smart cities' and 'residential settings'.,no,,yes,,,yes
10.1117/12.3073625,yes,,,yes,,yes,,,yes
10.13227/j.hjkx.202408170,no,,,yes,,yes,,,no
10.3390/en18143724,yes,,,yes,,yes,,,yes
10.12153/j.issn.1674-991X.20230102,no,,,yes,,yes,,,no
10.1016/j.jenvman.2024.122463,no,,,yes,,yes,,,yes
10.16058/j.issn.1005-0930.2022.06.001,yes,,,yes,,yes,,,yes
10.1016/j.ecolind.2023.110986,no,,,yes,,yes,,,yes
10.3390/f13050759,no,,,yes,,yes,,,yes
10.13227/j.hjkx.202403231,no,"Abstract mentions carbon neutrality as a goal but does not provide a pathway or system configuration that IS climate-neutral. The study assesses carbon budgets and proposes optimization strategies, but does not model a climate-neutral pathway.",,yes,,yes,,"Quantitative modeling is present (carbon balance model, compensation model), but these are used for assessment and zoning, not to generate climate-neutral pathways or scenarios.",no
10.3390/buildings15071096,no,,,yes,,yes,,,yes
10.1016/j.resconrec.2024.107718,no,,,yes,,yes,,,no
10.1016/j.jenvman.2023.119999,yes,,,yes,,yes,,,yes
10.3390/en14154404,yes,,,no,,yes,,,yes
10.1007/s11367-023-02190-w,no,,,no,,yes,,,no
10.1016/j.cscee.2025.101315,yes,,,yes,,yes,,,yes
10.16085/j.issn.1000-6613.2022-2293,no,The abstract reviews existing waste utilization technologies but does not present a specific pathway or system configuration that is assessed/modeled to be climate-neutral.,,yes,,yes,,This is a review paper analyzing technology routes and challenges; no quantitative modeling or scenario process is described.,no
10.1016/j.apenergy.2024.124686,no,,,yes,,yes,,,yes
10.3390/en17184680,no,,,yes,,yes,,,no
10.17645/up.v3i2.1250,yes,,,yes,,yes,,,yes
10.1016/j.rset.2023.100065,no,,,yes,,yes,,,yes
10.1016/j.scitotenv.2023.161490,no,The paper analyzes factors influencing carbon emissions and economic growth but does not present a concrete climate-neutral pathway or system configuration—it examines relationships between variables rather than proposing an actual neutral scenario.,,yes,"Renewable energy is mentioned in recommendations, but the paper's primary focus is macroeconomic relationships (GDP, emissions, trade) rather than specific sector analysis.",unclear,,,yes
10.1016/j.egycc.2021.100050,yes,,,yes,,yes,,Abstract discusses net-zero pathways and scenarios but does not explicitly describe the quantitative modeling or scenario methods used to generate them.,unclear
10.4271/2024-37-0018,no,,,no,,yes,,,yes
10.1002/adsu.202501637,yes,,,yes,,yes,,,yes
10.3390/su152316317,no,,,yes,,yes,,,no
10.1007/s11027-024-10164-y,yes,,,yes,,yes,,,yes
10.3390/su13168836,no,,,yes,,yes,,"Abstract mentions 'tools for effective energy decarbonisation modelling' and 'detailed urban-energy models' as part of the methodology, but doesn't clearly describe actual quantitative modeling or scenario results being performed in the study itself.",unclear
10.2478/eces-2023-0042,no,The study analyzes decarbonization potential and ranks sub-sectors but does not assess or model a pathway that achieves climate neutrality itself.,,yes,,yes,,"Factor analysis and fuzzy evaluation are used to rank industries by advantages/sustainability, but not to generate or model climate-neutral pathways or scenarios.",no
10.11654/jaes.2021-0647,no,"Abstract discusses carbon neutral goals and predicts emission reductions, but does not describe a specific pathway or system configuration that achieves climate neutrality.",,yes,,yes,,"Quantitative methods (emission factor method, STIRPAT model) are used for prediction only, not to generate or model pathways toward climate neutrality.",no
10.1016/j.eiar.2024.107431,no,,,yes,,yes,,,no
10.15244/pjoes/190782,yes,,,yes,,yes,,,yes
10.3390/urbansci9090374,no,"Abstract discusses reductions (15% from smart grids, 12% from renewable energy) and factors needed for 'high level of de-carbonization,' but does not model or present an actual climate-neutral pathway that achieves net-zero emissions.",,yes,,yes,,,yes
10.1109/TSTE.2022.3223684,no,,,yes,,yes,,,yes
10.1088/1748-9326/ab87d1,yes,,,yes,,yes,,,yes
10.1016/j.spc.2024.08.006,yes,,,no,,yes,,,yes
10.1016/j.techsoc.2025.103094,no,,,yes,,yes,,,no
10.1007/s10098-023-02656-3,unclear,"Title claims 'net-zero energy greenhouse' but the abstract only reports partial load coverage (43% thermal, 20% electrical) without demonstrating full net-zero achievement.",,yes,,yes,,,yes
10.3390/en18174674,no,,,yes,,yes,,,yes
10.1016/j.resconrec.2023.107179,no,,,yes,,yes,,,no
10.24264/icams-2020.IV.12,no,"Abstract discusses energy recovery from waste and reducing carbon footprint, but does not model or assess whether the system actually achieves climate neutrality or net-zero emissions.",,yes,,yes,,,yes
10.1016/j.jclepro.2022.134862,no,,,yes,,yes,,,yes
10.1016/j.ijggc.2022.103684,no,"The abstract assesses BECCS as a strategy toward Sweden's net-zero goal, but does not present a complete climate-neutral pathway or system configuration—only the potential of one technology component (CO2 capture in CHP plants).",,yes,,yes,,,yes
10.3390/buildings15142462,no,,,yes,,yes,,"The abstract includes quantitative modeling (GEP, Random Forest optimization) but for predicting emissions, not for modeling or generating climate-neutral pathways or scenarios.",no
10.1016/j.rser.2018.07.043,yes,,,yes,,yes,,,yes
10.1016/j.esr.2024.101537,yes,,,yes,,yes,,,yes
10.1016/j.jenvman.2023.118304,no,"The abstract mentions climate neutrality aims but documents carbon sequestration enhancement (3-10% increases), not a pathway or configuration that achieves climate neutrality.",,yes,,yes,,,yes
10.1016/j.agwat.2025.109756,no,,,yes,,yes,,,yes
10.3390/ijerph19105793,no,,,yes,,yes,,,yes
10.1016/j.resconrec.2025.108346,no,,,yes,,no,,,yes
10.1007/978-981-95-1595-0_101,no,,,yes,,yes,,,yes
10.1016/j.ese.2025.100571,yes,,,yes,,yes,,,yes
10.1007/s11625-023-01388-z,yes,,,yes,,yes,,,yes
10.1038/s41598-025-21651-w,no,,,yes,,yes,,,yes
10.1088/1748-9326/acf58f,no,,,yes,,yes,,,no
10.1007/s40974-024-00324-w,yes,,,yes,,yes,,,yes
10.1016/j.envint.2024.109124,yes,,,yes,,yes,,,yes
10.1016/j.scs.2025.106555,no,"Study finds that carbon neutrality goal cannot be achieved by 2060; only SSP126 achieves approximate carbon balance, not full neutrality.",,yes,,yes,,,yes
10.1016/j.earscirev.2025.105309,no,"The abstract describes a carbon removal technology (ERW), not a complete climate-neutral pathway or system configuration. It quantifies potential CO₂ sequestration but does not assess whether this achieves climate neutrality.",,yes,,yes,,,yes
10.13198/j.issn.1001-6929.2021.06.18,yes,,,yes,,yes,,,yes
10.1016/j.agwat.2026.110205,no,,,yes,,yes,,,yes
10.31497/zrzyxb.20221201,no,Paper reviews pathways and proposes strategic plans but does not present or assess a specific climate-neutral pathway or system configuration.,,yes,,yes,,Abstract discusses strategic research and simulation approaches but does not describe actual quantitative modeling or scenario analysis for generating climate-neutral pathways.,no
10.1109/IISA50023.2020.9284345,no,"NZEB (Net-Zero Energy Buildings) is mentioned as a future research goal, not as an assessed/modeled pathway that IS climate-neutral in this work.",,yes,,yes,,"Simulation and experimental results are mentioned for case studies, but not explicitly for quantitative modeling to generate climate-neutral pathways.",no
10.1016/j.scs.2025.106367,yes,,,yes,,yes,,,yes
10.28946/SLREV.VOL6.ISS1.1510.PP1-23,no,"The paper reviews biosequestration's role in Australia's net-zero strategy and identifies regulatory limitations, but does not present an actual assessed/modeled climate-neutral pathway or system configuration.",,yes,,yes,,"The paper is a regulatory and literature review analyzing existing frameworks and their effectiveness, not a quantitative modeling or scenario study generating climate neutral pathways.",no
10.3390/en15155401,yes,,,yes,,yes,,,yes
10.1016/j.eiar.2025.108143,no,,,yes,,yes,,,no
10.3390/su151411306,yes,,,yes,,yes,,,yes
10.1038/s41893-025-01576-y,yes,,,yes,,yes,,,yes
10.1088/2631-8695/ae25b8,no,,,no,,yes,,,yes
10.1016/j.renene.2021.12.024,yes,,,yes,,yes,,,yes
10.1016/j.enconman.2021.115081,yes,,,yes,,yes,,,yes
10.1016/j.jclepro.2022.134483,yes,,,yes,,yes,,,yes
10.3775/jie.89.42,no,"While biomass resources are mentioned as having carbon-neutral emissions potential, the system studied is co-firing biomass with coal at existing coal power stations, which is not climate-neutral overall.",,yes,,yes,,,yes
10.1007/978-3-031-70322-5,no,,,no,,yes,,,no
10.1109/INDISCON66021.2025.11253552,no,,,no,,yes,,,no
10.3390/ijerph19159677,no,,,yes,,yes,,,no
10.3390/f16091391,no,,,yes,,yes,,,no
10.1088/1748-9326/ad78ea,yes,,,yes,,yes,,"The paper is framed as a 'visionary strategy' with stated targets (4 Gt, 25% landmass, 100,000 residents), but it is unclear whether these derive from quantitative modelling or are aspirational design parameters.",unclear
10.1016/j.scs.2023.104758,yes,,,yes,,yes,,,yes
10.11867/j.issn.1001-8166.2023.039,no,This is a review of research themes and methodologies in geography related to carbon peaking/neutrality. It does not present an assessed or modeled climate-neutral pathway or system configuration.,,yes,,yes,,"The abstract describes quantitative methods (emission accounting, input-output models, remote sensing) used in the field, but it is unclear whether this review paper itself performs quantitative modeling or scenario analysis, as it appears to be primarily a literature review.",unclear
10.1021/acs.est.3c04618,yes,,,yes,,yes,,,yes
10.1021/acs.est.2c02884,no,"The abstract mentions achieving carbon neutrality in 2060 as context, but the study analyzes environmental/resource impacts of a carbon peak policy, not providing a climate-neutral pathway or system configuration itself.",,yes,,yes,,,yes
10.1007/978-981-97-5666-7_17,no,,,yes,,yes,,,no
10.1162/asep_a_00869,yes,,,yes,,yes,,,yes
10.3390/f15050816,no,,,yes,,yes,,,yes
10.3390/su16135475,no,,,yes,,yes,,"The study uses quantitative modeling (RF-MLP-LR) for predicting cement consumption, but not to generate climate-neutral pathways or scenarios.",no
10.1007/s11356-025-36903-5,no,"The abstract analyzes current carbon emissions and identifies drivers, but does not provide or model an actual climate-neutral pathway or system configuration.",,yes,,yes,,"While quantitative methods (correlation analysis, detector model, etc.) are used, they analyze the current carbon balance rather than model or generate climate-neutral pathways or scenarios.",no
10.1016/j.esr.2020.100525,yes,,,yes,,yes,,,yes
10.1109/ICEAAI64185.2025.10957062,no,,,yes,,yes,,,no
10.13227/j.hjkx.202401161,no,,,yes,,yes,,,yes
10.1016/j.ijggc.2024.104164,yes,,,yes,,yes,,,yes
10.1016/j.crsus.2024.100122,no,,,yes,,yes,,,yes
10.3390/pr12081758,yes,,,yes,,yes,,,yes
10.5558/tfc2014-125,no,"The abstract investigates and questions carbon neutrality assumptions rather than confirming a climate-neutral pathway. Results show net C storage only under certain assumptions, with net C emissions under others.",,yes,,yes,,,yes
10.1057/s41599-025-05545-w,yes,,,yes,,yes,,,yes
10.1109/ATIGB66719.2025.11142167,no,,,yes,,yes,,,no
10.1016/j.enconman.2025.120055,yes,,,no,,yes,,,yes
10.1016/j.resenv.2025.100253,no,,,yes,,yes,,,yes
10.1080/1331677X.2023.2180412,no,,,yes,,yes,,,no
10.56398/ajacieda.00371,no,,,yes,,yes,,,no
10.1002/bbb.1407,no,,,no,,yes,,This is a synthesis comparing existing modeling frameworks rather than presenting new quantitative modeling or scenario development by the authors.,unclear
